Batsman_Name+Cricinfo_Link,Delivery Length,Delivery Line,Shot Type
Mohammad Hafeez ,Full length(5-6 m),On the off Stump,Pull
Mohammad Hafeez ,Full length(5-6 m),On the leg stump,Swings
Shadab Khan ,Half-volley(<5 m),On the leg stump,Flick
Shadab Khan ,Full length(5-6 m),Unknown,Lofted Drive
Mohammad Hafeez ,Full Toss (<0 m),On the stumps,Pull
Mohammad Hafeez ,Unknown,Unknown,Flick
Shadab Khan ,Full Toss (<0 m),Outside Off,Miss
Shadab Khan ,Full length(5-6 m),On the stumps,Cut
Imad Wasim ,Unknown,Down the leg side,Straight drive
Imad Wasim ,Unknown,Down the leg side,Pull
Mohammad Hafeez ,Full Toss (<0 m),On middle stump,Whipped
Imad Wasim ,Full length(5-6 m),Outside Off,leave
Imad Wasim ,Unknown,Unknown,Cut
Mohammad Hafeez ,Yorker (0-2 m),Into the stumps,Swats
Mohammad Hafeez ,Length (6-9 m),Outside Off,Flick
Imad Wasim ,Length (6-9 m),Outside Off,Pull
Mohammad Hafeez ,Length (6-9 m),Into the stumps,Straight drive
