Bowler_Name+Cricinfo_Link,Batsman_Name+Cricinfo_Link,Delivery Length,Delivery Line,Shot Type
Adil Rashid ,Mohammad Hafeez ,Length (6-9 m),Flighthed,Reverse Sweep
Adil Rashid ,Mohammad Hafeez ,Length (6-9 m),Down the leg side,Sweep
Adil Rashid ,Mohammad Hafeez ,Length (6-9 m),On the stumps,Sweep
Adil Rashid ,Mohammad Hafeez ,Length (6-9 m),On the pads,Pull
Chris Jordan ,Haider Ali ,Full length(5-6 m),On the stumps,Clipped
Chris Jordan ,Mohammad Hafeez ,Full length(5-6 m),Wide,Pull
Chris Jordan ,Haider Ali ,Full length(5-6 m),In the stumps,Miss
Chris Jordan ,Shadab Khan ,Yorker (0-2 m),On the pads,Forward defence
Chris Jordan ,Mohammad Hafeez ,Length (6-9 m),Outside Off,Cut
Chris Jordan ,Mohammad Hafeez ,Full Toss (<0 m),On the stumps,Pull
Lewis Gregory ,Mohammad Hafeez ,Full Toss (<0 m),On the stumps,Swings
Lewis Gregory ,Mohammad Hafeez ,Full Toss (<0 m),Unknown,Clipped
Lewis Gregory ,Shadab Khan ,Full length(5-6 m),Outside Off,Pull
Lewis Gregory ,Mohammad Hafeez ,Length (6-9 m),Outside Off,Slice
Lewis Gregory ,Mohammad Hafeez ,Short (>9 m),Unknown,Pull
Lewis Gregory ,Shadab Khan ,Short (>9 m),Wide on the off side,Cut
Lewis Gregory ,Shadab Khan ,Short (>9 m),Unknown,Pull
Tom Curran ,Mohammad Hafeez ,Full Toss (<0 m),Into the stumps,Swings
Tom Curran ,Mohammad Hafeez ,Yorker (0-2 m),On off stumps,Flick
Tom Curran ,Shadab Khan ,Yorker (0-2 m),Wide on the off side,Straight drive
Tom Curran ,Mohammad Hafeez ,Full length(5-6 m),Wide on the off side,Pull
Tom Curran ,Shadab Khan ,Short (>9 m),Unknown,Pull
Tom Curran ,Mohammad Hafeez ,Length (6-9 m),Wide,Flick
Saqib Mahmood,Mohammad Hafeez ,Length (6-9 m),Unknown,Dragged
Saqib Mahmood,Shadab Khan ,Full length(5-6 m),Down the leg side,Flick
Saqib Mahmood,Mohammad Hafeez ,Full length(5-6 m),On the off Stump,Pull
Saqib Mahmood,Mohammad Hafeez ,Full length(5-6 m),On the leg stump,Swings
Saqib Mahmood,Shadab Khan ,Half-volley(<5 m),On the leg stump,Flick
Saqib Mahmood,Shadab Khan ,Full length(5-6 m),Unknown,Lofted Drive
Chris Jordan ,Mohammad Hafeez ,Full Toss (<0 m),On the stumps,Pull
Chris Jordan ,Mohammad Hafeez ,Unknown,Unknown,Flick
Chris Jordan ,Shadab Khan ,Full Toss (<0 m),Outside Off,Miss
Chris Jordan ,Shadab Khan ,Full length(5-6 m),On the stumps,Cut
Chris Jordan ,Imad Wasim ,Unknown,Down the leg side,Straight drive
Chris Jordan ,Imad Wasim ,Unknown,Down the leg side,Pull
Saqib Mahmood,Mohammad Hafeez ,Full Toss (<0 m),On middle stump,Whipped
Saqib Mahmood,Imad Wasim ,Full length(5-6 m),Outside Off,leave
Saqib Mahmood,Imad Wasim ,Unknown,Unknown,Cut
Saqib Mahmood,Mohammad Hafeez ,Yorker (0-2 m),Into the stumps,Swats
Saqib Mahmood,Mohammad Hafeez ,Length (6-9 m),Outside Off,Flick
Saqib Mahmood,Imad Wasim ,Length (6-9 m),Outside Off,Pull
Saqib Mahmood,Mohammad Hafeez ,Length (6-9 m),Into the stumps,Straight drive
