Over #,Ball #,Bowler Name+Cricinfo Link,Batsman Name+Cricinfo Link,Class,Outcome,Total Runs ,Delivery Length,Delivery Line,Bowling Side,Delivery Speed,Delivery Type,Shot Type ,Shot Field Position,Hit Type,Ball Type,Out type,Umpire Actions,Field Activity 1 ,Field Activity 2 ,Field Activity 3 ,Other Actions 1,Other Actions 2
4,6,Mohammad Hasnain,Tim Seifert ,Batsman,Six,6,Short (>9 m),Outside off,Unknown,Unknown,Unknown,Unknown,Straight,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
5,1,Haris Rauf,Martin Guptill ,Batsman,Dot,0,Full length(5-6 m),On the off Stump,Unknown,Unknown,Unknown,Unknown,Mid On,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
5,2,Haris Rauf,Martin Guptill ,Batsman,Six,6,Full length(5-6 m),On the leg stump,Unknown,Unknown,Unknown,Unknown,Mid Off,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
5,3,Haris Rauf,Martin Guptill ,Batsman,Dot,0,Short (>9 m),Outside off,Unknown,100,Yorker,Pull,Mid Off,Edge,Legal,Caught,Given Out,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
5,4,Haris Rauf,Kane Williamson,Batsman,Single,1,Full length(5-6 m),On the off Stump,Unknown,Unknown,Unknown,Forward defence,Third Man,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
5,5,Haris Rauf,Tim Seifert ,Batsman,Dot,0,Length (6-9 m),On the off Stump,Unknown,144,Unknown,Straight drive,Cover,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
5,6,Haris Rauf,Tim Seifert ,Batsman,Four,4,Full length(5-6 m),Unknown,Unknown,Unknown,Unknown,Unknown,Mid On,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
6,1,Faheem Ashraf,Kane Williamson,Batsman,Dot,0,Short (>9 m),Outside off,Unknown,Unknown,Unknown,Unknown,Point,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
6,2,Faheem Ashraf,Kane Williamson,Batsman,Dot,0,Short (>9 m),Unknown,Unknown,Unknown,Unknown,Unknown,Mid Wicket,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
6,3,Faheem Ashraf,Kane Williamson,Batsman,Dot,0,Back of a length(8-9 m),Outside off,Unknown,Unknown,Unknown,Cut,Unknown,Inside egde to the Stumps,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
6,4,Faheem Ashraf,Devon Conway ,Batsman,Dot,0,Short (>9 m),Outside off,Unknown,Unknown,Unknown,Unknown,Third Man,Outside Edge,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
6,5,Faheem Ashraf,Devon Conway ,Batsman,Single,1,Full length(5-6 m),Unknown,Unknown,Unknown,Unknown,Forward defence,Cover,Unknown,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
6,6,Faheem Ashraf,Tim Seifert ,Batsman,Single,1,Short (>9 m),Wide on the off side,Unknown,Unknown,Unknown,Unknown,Mid On,Middled,Legal,Not Out,Normal ,Normal Fielding,Normal Fielding,Normal Fielding,Nothing,Nothing
