Bowler Name+Cricinfo Link,Batsman Name+Cricinfo Link,Delivery Length,Delivery Line,Shot Type
Shaheen Shah Afridi,Glenn Phillips,Full length(5-6 m),On middle stump,Unknown
Shaheen Shah Afridi,Devon Conway,Half-volley(<5 m),Wide on the off side,Unknown
Shaheen Shah Afridi,Devon Conway,Unknown,Unknown,Unknown
Shaheen Shah Afridi,Devon Conway,Short (>9 m),On the stump,Pull
Shaheen Shah Afridi,James Neesham,Back of a length(8-9 m),,Unknown
Shaheen Shah Afridi,Devon Conway,Short (>9 m),Wide on the off side,Cut
Mohammad Hasnain,Devon Conway,Full Toss (<0 m),Unknown,Unknown
Mohammad Hasnain,Devon Conway,Good length(6-8 m),Unknown,Unknown
Mohammad Hasnain,Devon Conway,Short (>9 m),Unknown,Pull
Mohammad Hasnain,Devon Conway,Full length(5-6 m),On middle stump,Unknown
Mohammad Hasnain,Devon Conway,Back of a length(8-9 m),Outside off,Unknown
Mohammad Hasnain,James Neesham,Good length(6-8 m),Unknown,Unknown
Faheem Ashraf,James Neesham,Short (>9 m),Unknown,Pull
Faheem Ashraf,James Neesham,Unknown,Wide on the off side,Unknown
Faheem Ashraf,Devon Conway,Good length(6-8 m),On the stump,Pull
Faheem Ashraf,Scott Kuggeleijn,Unknown,On the stump,Pull
Faheem Ashraf,Devon Conway,Short (>9 m),Outside off,Unknown
Faheem Ashraf,Scott Kuggeleijn,Yorker (0-2 m),Outside off,Pull
Haris Rauf,Devon Conway,Full Toss (<0 m),On middle stump,Unknown
Haris Rauf,Devon Conway,Good length(6-8 m),Outside off,Unknown
Haris Rauf,Devon Conway,Half-volley(<5 m),On the stump,Flick
Haris Rauf,Devon Conway,Good length(6-8 m),On the off Stump,Unknown
Haris Rauf,Scott Kuggeleijn,Yorker (0-2 m),On the leg stump,Flick
Haris Rauf,Devon Conway,Unknown,Unknown,Unknown
